,Read number,Strand,Location of the gene in the read,Read length,Start,End
0,NC_029042-88,1,"[61, 102)",40,61,102
1,NC_029042-88,1,"[306, 405)",138,306,405
2,NC_029042-88,1,"[408, 838)",567,408,838
3,NC_029042-88,1,"[918, 1122)",770,918,1122
4,NC_029042-88,1,"[1200, 1271)",840,1200,1271
5,NC_029042-88,1,"[1400, 1424)",863,1400,1424
6,NC_029042-88,1,"[1443, 1445)",864,1443,1445
7,NC_029042-88,1,"[1530, 1537)",870,1530,1537
8,NC_029042-88,1,"[1538, 1567)",898,1538,1567
9,NC_029042-88,1,"[1573, 1938)",1262,1573,1938
10,NC_029042-88,1,"[1985, 1997)",1273,1985,1997
11,NC_029042-88,1,"[2003, 2016)",1285,2003,2016
12,NC_029042-88,1,"[2025, 2038)",1297,2025,2038
13,NC_029042-88,1,"[2040, 2084)",1340,2040,2084
14,NC_029042-88,1,"[2142, 2424)",1621,2142,2424
15,NC_029042-88,1,"[2435, 2439)",1624,2435,2439
16,NC_029042-88,1,"[2440, 2442)",1625,2440,2442
17,NC_029042-88,1,"[2503, 2582)",1703,2503,2582
18,NC_029042-88,1,"[2583, 2591)",1710,2583,2591
19,NC_029042-88,1,"[2592, 2594)",1711,2592,2594
20,NC_029042-88,1,"[2652, 2746)",1804,2652,2746
21,NC_029042-88,1,"[2754, 2958)",2007,2754,2958
0,NC_029042-89,1,"[0, 629)",628,0,629
1,NC_029042-89,1,"[631, 632)",628,631,632
2,NC_029042-89,1,"[714, 1428)",1341,714,1428
3,NC_029042-89,1,"[1810, 1822)",1352,1810,1822
4,NC_029042-89,1,"[1836, 1860)",1375,1836,1860
5,NC_029042-89,1,"[1938, 2346)",1782,1938,2346
6,NC_029042-89,1,"[2426, 2448)",1803,2426,2448
7,NC_029042-89,1,"[2550, 2559)",1811,2550,2559
8,NC_029042-89,1,"[2652, 3162)",2320,2652,3162
9,NC_029042-89,1,"[3264, 3345)",2400,3264,3345
10,NC_029042-89,1,"[3366, 3468)",2501,3366,3468
11,NC_029042-89,1,"[3472, 3670)",2698,3472,3670
12,NC_029042-89,1,"[3672, 3732)",2757,3672,3732
13,NC_029042-89,1,"[3733, 3735)",2758,3733,3735
14,NC_029042-89,1,"[3741, 3752)",2768,3741,3752
15,NC_029042-89,1,"[3755, 3765)",2777,3755,3765
16,NC_029042-89,1,"[3869, 3954)",2861,3869,3954
17,NC_029042-89,1,"[3978, 4182)",3064,3978,4182
18,NC_029042-89,1,"[4252, 4347)",3158,4252,4347
19,NC_029042-89,1,"[4349, 4360)",3168,4349,4360
20,NC_029042-89,1,"[4386, 4613)",3394,4386,4613
21,NC_029042-89,1,"[4614, 4615)",3394,4614,4615
22,NC_029042-89,1,"[4684, 5015)",3724,4684,5015
23,NC_029042-89,1,"[5017, 5021)",3727,5017,5021
24,NC_029042-89,1,"[5023, 5026)",3729,5023,5026
25,NC_029042-89,1,"[5036, 5039)",3731,5036,5039
26,NC_029042-89,1,"[5122, 5124)",3732,5122,5124
27,NC_029042-89,1,"[5125, 5258)",3864,5125,5258
28,NC_029042-89,1,"[5298, 5304)",3869,5298,5304
29,NC_029042-89,1,"[5406, 5442)",3904,5406,5442
30,NC_029042-89,1,"[5508, 5704)",4099,5508,5704
31,NC_029042-89,1,"[5759, 5761)",4100,5759,5761
32,NC_029042-89,1,"[5775, 5868)",4192,5775,5868
33,NC_029042-89,1,"[5872, 5875)",4194,5872,5875
34,NC_029042-89,1,"[5916, 6129)",4406,5916,6129
35,NC_029042-89,1,"[6237, 6346)",4514,6237,6346
36,NC_029042-89,1,"[6438, 6630)",4705,6438,6630
0,NC_029042-91,1,"[0, 208)",207,0,208
1,NC_029042-91,1,"[248, 260)",218,248,260
2,NC_029042-91,1,"[264, 372)",325,264,372
3,NC_029042-91,1,"[377, 382)",329,377,382
4,NC_029042-91,1,"[390, 612)",550,390,612
5,NC_029042-91,1,"[656, 714)",607,656,714
6,NC_029042-91,1,"[769, 770)",607,769,770
7,NC_029042-91,1,"[777, 790)",619,777,790
8,NC_029042-91,1,"[816, 910)",712,816,910
9,NC_029042-91,1,"[918, 1122)",915,918,1122
10,NC_029042-91,1,"[1160, 1224)",978,1160,1224
11,NC_029042-91,1,"[1348, 1349)",978,1348,1349
12,NC_029042-91,1,"[1426, 1427)",978,1426,1427
13,NC_029042-91,1,"[1428, 1434)",983,1428,1434
14,NC_029042-91,1,"[1618, 1632)",996,1618,1632
15,NC_029042-91,1,"[1734, 1745)",1006,1734,1745
16,NC_029042-91,1,"[1907, 1938)",1036,1907,1938
17,NC_029042-91,1,"[2171, 2173)",1037,2171,2173
18,NC_029042-91,1,"[2346, 2355)",1045,2346,2355
19,NC_029042-91,1,"[2448, 2652)",1248,2448,2652
20,NC_029042-91,1,"[2769, 2816)",1294,2769,2816
21,NC_029042-91,1,"[2856, 2947)",1384,2856,2947
22,NC_029042-91,1,"[2948, 3189)",1624,2948,3189
23,NC_029042-91,1,"[3208, 3340)",1755,3208,3340
24,NC_029042-91,1,"[3358, 3366)",1762,3358,3366
25,NC_029042-91,1,"[3487, 3535)",1809,3487,3535
26,NC_029042-91,1,"[3570, 3836)",2074,3570,3836
27,NC_029042-91,1,"[3839, 3868)",2102,3839,3868
28,NC_029042-91,1,"[3869, 3978)",2210,3869,3978
29,NC_029042-91,1,"[4076, 4080)",2213,4076,4080
30,NC_029042-91,1,"[4182, 4268)",2298,4182,4268
31,NC_029042-91,1,"[4284, 4346)",2359,4284,4346
32,NC_029042-91,1,"[4386, 4750)",2722,4386,4750
33,NC_029042-91,1,"[4753, 4773)",2741,4753,4773
34,NC_029042-91,1,"[4790, 4896)",2846,4790,4896
35,NC_029042-91,1,"[4900, 4998)",2943,4900,4998
36,NC_029042-91,1,"[5202, 5300)",3040,5202,5300
37,NC_029042-91,1,"[5302, 5406)",3143,5302,5406
38,NC_029042-91,1,"[5413, 5422)",3151,5413,5422
39,NC_029042-91,1,"[5434, 5604)",3320,5434,5604
40,NC_029042-91,1,"[5610, 5781)",3490,5610,5781
41,NC_029042-91,1,"[5814, 6120)",3795,5814,6120
42,NC_029042-91,1,"[6213, 6222)",3803,6213,6222
43,NC_029042-91,1,"[6324, 6366)",3844,6324,6366
44,NC_029042-91,1,"[6426, 6528)",3945,6426,6528
45,NC_029042-91,1,"[6630, 6691)",4005,6630,6691
46,NC_029042-91,1,"[6758, 6759)",4005,6758,6759
47,NC_029042-91,1,"[6761, 6762)",4005,6761,6762
48,NC_029042-91,1,"[6807, 6834)",4031,6807,6834
49,NC_029042-91,1,"[6941, 6945)",4034,6941,6945
50,NC_029042-91,1,"[6948, 7008)",4093,6948,7008
51,NC_029042-91,1,"[7038, 7195)",4249,7038,7195
52,NC_029042-91,1,"[7198, 7530)",4580,7198,7530
53,NC_029042-91,1,"[7548, 7880)",4911,7548,7880
54,NC_029042-91,1,"[8009, 8058)",4959,8009,8058
55,NC_029042-91,1,"[8156, 8238)",5040,8156,8238
56,NC_029042-91,1,"[8262, 8520)",5297,8262,8520
57,NC_029042-91,1,"[8534, 8536)",5298,8534,8536
58,NC_029042-91,1,"[8538, 8539)",5298,8538,8539
59,NC_029042-91,1,"[8548, 8595)",5344,8548,8595
60,NC_029042-91,1,"[8609, 8779)",5513,8609,8779
61,NC_029042-91,1,"[8784, 8785)",5513,8784,8785
0,NC_029042-93,1,"[26, 37)",10,26,37
1,NC_029042-93,1,"[43, 897)",863,43,897
2,NC_029042-93,1,"[918, 946)",890,918,946
3,NC_029042-93,1,"[952, 960)",897,952,960
4,NC_029042-93,1,"[998, 1020)",918,998,1020
5,NC_029042-93,1,"[1121, 1159)",955,1121,1159
6,NC_029042-93,1,"[1162, 1190)",982,1162,1190
7,NC_029042-93,1,"[1224, 2040)",1797,1224,2040
8,NC_029042-93,1,"[2244, 2258)",1810,2244,2258
9,NC_029042-93,1,"[2261, 2989)",2537,2261,2989
10,NC_029042-93,1,"[2991, 3088)",2633,2991,3088
11,NC_029042-93,1,"[3125, 3146)",2653,3125,3146
12,NC_029042-93,1,"[3148, 3152)",2656,3148,3152
13,NC_029042-93,1,"[3154, 3774)",3275,3154,3774
14,NC_029042-93,1,"[3811, 3873)",3336,3811,3873
15,NC_029042-93,1,"[3978, 4073)",3430,3978,4073
16,NC_029042-93,1,"[4148, 4274)",3555,4148,4274
17,NC_029042-93,1,"[4275, 4281)",3560,4275,4281
18,NC_029042-93,1,"[4284, 4498)",3773,4284,4498
19,NC_029042-93,1,"[4504, 4526)",3794,4504,4526
20,NC_029042-93,1,"[4531, 4546)",3808,4531,4546
21,NC_029042-93,1,"[4570, 4572)",3809,4570,4572
22,NC_029042-93,1,"[4586, 4589)",3811,4586,4589
23,NC_029042-93,1,"[4590, 4794)",4014,4590,4794
24,NC_029042-93,1,"[4872, 4935)",4076,4872,4935
25,NC_029042-93,1,"[4939, 4940)",4076,4939,4940
26,NC_029042-93,1,"[4949, 4950)",4076,4949,4950
27,NC_029042-93,1,"[4957, 4959)",4077,4957,4959
28,NC_029042-93,1,"[4994, 4996)",4078,4994,4996
29,NC_029042-93,1,"[4998, 5224)",4303,4998,5224
30,NC_029042-93,1,"[5225, 5241)",4318,5225,5241
31,NC_029042-93,1,"[5248, 5250)",4319,5248,5250
32,NC_029042-93,1,"[5419, 5427)",4326,5419,5427
33,NC_029042-93,1,"[5436, 5472)",4361,5436,5472
34,NC_029042-93,1,"[5476, 5477)",4361,5476,5477
35,NC_029042-93,1,"[5508, 5814)",4666,5508,5814
0,NC_029042-94,1,"[0, 714)",713,0,714
1,NC_029042-94,1,"[751, 875)",836,751,875
2,NC_029042-94,1,"[918, 928)",845,918,928
3,NC_029042-94,1,"[1006, 1020)",858,1006,1020
4,NC_029042-94,1,"[1088, 1171)",940,1088,1171
5,NC_029042-94,1,"[1174, 1202)",967,1174,1202
6,NC_029042-94,1,"[1203, 1208)",971,1203,1208
7,NC_029042-94,1,"[1468, 1470)",972,1468,1470
8,NC_029042-94,1,"[1473, 1487)",985,1473,1487
