,Read number,Strand,Location of the gene in the read,Read length,Start,End
0,NC_031045-7,1,"[0, 63)",62,0,63
1,NC_031045-7,1,"[93, 408)",376,93,408
2,NC_031045-7,1,"[498, 611)",488,498,611
3,NC_031045-7,1,"[612, 1122)",997,612,1122
4,NC_031045-7,1,"[1224, 1279)",1051,1224,1279
5,NC_031045-7,1,"[1290, 1295)",1055,1290,1295
6,NC_031045-7,1,"[1326, 1536)",1264,1326,1536
7,NC_031045-7,1,"[1537, 1543)",1269,1537,1543
8,NC_031045-7,1,"[1549, 1836)",1555,1549,1836
9,NC_031045-7,1,"[1885, 2005)",1674,1885,2005
10,NC_031045-7,1,"[2084, 2142)",1731,2084,2142
11,NC_031045-7,1,"[2146, 2154)",1738,2146,2154
12,NC_031045-7,1,"[2156, 2169)",1750,2156,2169
13,NC_031045-7,1,"[2331, 2334)",1752,2331,2334
14,NC_031045-7,1,"[2448, 2507)",1810,2448,2507
0,NC_031045-10,1,"[0, 204)",203,0,204
1,NC_031045-10,1,"[278, 285)",209,278,285
2,NC_031045-10,1,"[306, 406)",308,306,406
3,NC_031045-10,1,"[408, 443)",342,408,443
4,NC_031045-10,1,"[448, 450)",343,448,450
5,NC_031045-10,1,"[452, 453)",343,452,453
6,NC_031045-10,1,"[454, 458)",346,454,458
7,NC_031045-10,1,"[462, 463)",346,462,463
8,NC_031045-10,1,"[464, 465)",346,464,465
9,NC_031045-10,1,"[466, 467)",346,466,467
10,NC_031045-10,1,"[491, 589)",443,491,589
11,NC_031045-10,1,"[612, 816)",646,612,816
12,NC_031045-10,1,"[821, 823)",647,821,823
13,NC_031045-10,1,"[938, 1125)",833,938,1125
14,NC_031045-10,1,"[1204, 1206)",834,1204,1206
15,NC_031045-10,1,"[1222, 1836)",1447,1222,1836
16,NC_031045-10,1,"[1964, 1994)",1476,1964,1994
17,NC_031045-10,1,"[2040, 2142)",1577,2040,2142
18,NC_031045-10,1,"[2199, 2218)",1595,2199,2218
19,NC_031045-10,1,"[2222, 2244)",1616,2222,2244
20,NC_031045-10,1,"[2261, 2302)",1656,2261,2302
21,NC_031045-10,1,"[2329, 2346)",1672,2329,2346
22,NC_031045-10,1,"[2383, 2385)",1673,2383,2385
23,NC_031045-10,1,"[2481, 2490)",1681,2481,2490
24,NC_031045-10,1,"[2622, 2651)",1709,2622,2651
