,Read number,Strand,Location of the gene in the read,Read length,Start,End
0,NC_016073-69,1,"[0, 67)",66,0,67
1,NC_016073-69,1,"[102, 125)",88,102,125
2,NC_016073-69,1,"[157, 306)",236,157,306
3,NC_016073-69,1,"[322, 533)",446,322,533
4,NC_016073-69,1,"[538, 539)",446,538,539
5,NC_016073-69,1,"[548, 612)",509,548,612
6,NC_016073-69,1,"[710, 712)",510,710,712
7,NC_016073-69,1,"[714, 795)",590,714,795
8,NC_016073-69,1,"[842, 998)",745,842,998
9,NC_016073-69,1,"[1020, 1475)",1199,1020,1475
10,NC_016073-69,1,"[1478, 1486)",1206,1478,1486
11,NC_016073-69,1,"[1488, 1506)",1223,1488,1506
12,NC_016073-69,1,"[1594, 1652)",1280,1594,1652
13,NC_016073-69,1,"[1734, 1748)",1293,1734,1748
14,NC_016073-69,1,"[1754, 1771)",1309,1754,1771
15,NC_016073-69,1,"[1774, 1775)",1309,1774,1775
16,NC_016073-69,1,"[1832, 1836)",1312,1832,1836
17,NC_016073-69,1,"[1922, 1938)",1327,1922,1938
18,NC_016073-69,1,"[2078, 2091)",1339,2078,2091
19,NC_016073-69,1,"[2294, 2298)",1342,2294,2298
20,NC_016073-69,1,"[2300, 2301)",1342,2300,2301
21,NC_016073-69,1,"[2302, 2308)",1347,2302,2308
22,NC_016073-69,1,"[2346, 2419)",1419,2346,2419
23,NC_016073-69,1,"[2721, 2732)",1429,2721,2732
24,NC_016073-69,1,"[2748, 2754)",1434,2748,2754
25,NC_016073-69,1,"[2795, 2797)",1435,2795,2797
26,NC_016073-69,1,"[2804, 2834)",1464,2804,2834
0,NC_016073-70,1,"[18, 26)",7,18,26
1,NC_016073-70,1,"[58, 60)",8,58,60
2,NC_016073-70,1,"[102, 192)",97,102,192
3,NC_016073-70,1,"[204, 337)",229,204,337
4,NC_016073-70,1,"[338, 1193)",1083,338,1193
5,NC_016073-70,1,"[1196, 1216)",1102,1196,1216
6,NC_016073-70,1,"[1217, 1220)",1104,1217,1220
7,NC_016073-70,1,"[1222, 1938)",1819,1222,1938
8,NC_016073-70,1,"[2035, 2036)",1819,2035,2036
9,NC_016073-70,1,"[2040, 2122)",1900,2040,2122
10,NC_016073-70,1,"[2142, 2668)",2425,2142,2668
11,NC_016073-70,1,"[2678, 2682)",2428,2678,2682
12,NC_016073-70,1,"[2684, 2713)",2456,2684,2713
0,NC_016073-71,1,"[0, 68)",67,0,68
1,NC_016073-71,1,"[102, 118)",82,102,118
2,NC_016073-71,1,"[120, 124)",85,120,124
3,NC_016073-71,1,"[147, 408)",345,147,408
4,NC_016073-71,1,"[520, 588)",412,520,588
5,NC_016073-71,1,"[612, 865)",664,612,865
6,NC_016073-71,1,"[886, 918)",695,886,918
7,NC_016073-71,1,"[1122, 1224)",796,1122,1224
8,NC_016073-71,1,"[1296, 1326)",825,1296,1326
9,NC_016073-71,1,"[1446, 1449)",827,1446,1449
10,NC_016073-71,1,"[1450, 1454)",830,1450,1454
11,NC_016073-71,1,"[1455, 1456)",830,1455,1456
12,NC_016073-71,1,"[1459, 1460)",830,1459,1460
13,NC_016073-71,1,"[1465, 1470)",834,1465,1470
14,NC_016073-71,1,"[1530, 2250)",1553,1530,2250
15,NC_016073-71,1,"[2257, 2262)",1557,2257,2262
16,NC_016073-71,1,"[2346, 2448)",1658,2346,2448
17,NC_016073-71,1,"[2592, 2595)",1660,2592,2595
18,NC_016073-71,1,"[2652, 2671)",1678,2652,2671
19,NC_016073-71,1,"[2672, 2754)",1759,2672,2754
20,NC_016073-71,1,"[2846, 2852)",1764,2846,2852
21,NC_016073-71,1,"[2898, 2901)",1766,2898,2901
22,NC_016073-71,1,"[2905, 2907)",1767,2905,2907
23,NC_016073-71,1,"[2958, 3055)",1863,2958,3055
24,NC_016073-71,1,"[3056, 3096)",1902,3056,3096
25,NC_016073-71,1,"[3124, 3219)",1996,3124,3219
26,NC_016073-71,1,"[3295, 3299)",1999,3295,3299
27,NC_016073-71,1,"[3302, 3312)",2008,3302,3312
28,NC_016073-71,1,"[3313, 3352)",2046,3313,3352
29,NC_016073-71,1,"[3353, 3366)",2058,3353,3366
30,NC_016073-71,1,"[3468, 3486)",2075,3468,3486
31,NC_016073-71,1,"[3490, 3492)",2076,3490,3492
32,NC_016073-71,1,"[3496, 3497)",2076,3496,3497
33,NC_016073-71,1,"[3498, 3532)",2109,3498,3532
34,NC_016073-71,1,"[3548, 3549)",2109,3548,3549
35,NC_016073-71,1,"[3551, 3552)",2109,3551,3552
36,NC_016073-71,1,"[3718, 3722)",2112,3718,3722
37,NC_016073-71,1,"[3749, 3752)",2114,3749,3752
38,NC_016073-71,1,"[3774, 3813)",2152,3774,3813
39,NC_016073-71,1,"[3876, 4080)",2355,3876,4080
40,NC_016073-71,1,"[4284, 4357)",2427,4284,4357
41,NC_016073-71,1,"[4386, 4414)",2454,4386,4414
42,NC_016073-71,1,"[4422, 4424)",2455,4422,4424
43,NC_016073-71,1,"[4448, 4457)",2463,4448,4457
44,NC_016073-71,1,"[4461, 4488)",2489,4461,4488
45,NC_016073-71,1,"[4531, 4532)",2489,4531,4532
46,NC_016073-71,1,"[4533, 4534)",2489,4533,4534
47,NC_016073-71,1,"[4535, 4538)",2491,4535,4538
48,NC_016073-71,1,"[4540, 4542)",2492,4540,4542
49,NC_016073-71,1,"[4546, 4634)",2579,4546,4634
50,NC_016073-71,1,"[4692, 4700)",2586,4692,4700
51,NC_016073-71,1,"[4837, 6464)",4212,4837,6464
52,NC_016073-71,1,"[6475, 6528)",4264,6475,6528
0,NC_016073-72,1,"[0, 23)",22,0,23
1,NC_016073-72,1,"[37, 39)",23,37,39
2,NC_016073-72,1,"[50, 846)",818,50,846
3,NC_016073-72,1,"[915, 1668)",1570,915,1668
4,NC_016073-72,1,"[1734, 2040)",1875,1734,2040
5,NC_016073-72,1,"[2083, 2178)",1969,2083,2178
6,NC_016073-72,1,"[2180, 2181)",1969,2180,2181
7,NC_016073-72,1,"[2251, 2270)",1987,2251,2270
8,NC_016073-72,1,"[2303, 2304)",1987,2303,2304
9,NC_016073-72,1,"[2320, 2346)",2012,2320,2346
10,NC_016073-72,1,"[2355, 2357)",2013,2355,2357
11,NC_016073-72,1,"[2363, 2364)",2013,2363,2364
12,NC_016073-72,1,"[2410, 2421)",2023,2410,2421
13,NC_016073-72,1,"[2422, 2472)",2072,2422,2472
14,NC_016073-72,1,"[2556, 2558)",2073,2556,2558
15,NC_016073-72,1,"[2560, 2652)",2164,2560,2652
16,NC_016073-72,1,"[2706, 2827)",2284,2706,2827
17,NC_016073-72,1,"[2831, 2845)",2297,2831,2845
18,NC_016073-72,1,"[2846, 2849)",2299,2846,2849
19,NC_016073-72,1,"[2856, 3060)",2502,2856,3060
20,NC_016073-72,1,"[3161, 3162)",2502,3161,3162
21,NC_016073-72,1,"[3180, 3190)",2511,3180,3190
22,NC_016073-72,1,"[3276, 3366)",2600,3276,3366
23,NC_016073-72,1,"[3427, 3429)",2601,3427,3429
24,NC_016073-72,1,"[3438, 3468)",2630,3438,3468
25,NC_016073-72,1,"[3483, 3516)",2662,3483,3516
26,NC_016073-72,1,"[3521, 3548)",2688,3521,3548
27,NC_016073-72,1,"[3570, 3615)",2732,3570,3615
0,NC_016073-73,1,"[0, 306)",305,0,306
1,NC_016073-73,1,"[310, 489)",483,310,489
2,NC_016073-73,1,"[490, 491)",483,490,491
3,NC_016073-73,1,"[509, 844)",817,509,844
4,NC_016073-73,1,"[929, 1182)",1069,929,1182
5,NC_016073-73,1,"[1187, 1302)",1183,1187,1302
6,NC_016073-73,1,"[1335, 1336)",1183,1335,1336
